GEOG,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,POP_25OV,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,HU_TOT
Bridgeport,33827.8816,6830.591991,8846.069065,6963.893789,6881.845618,2501.740568,1250.253628,553.4869413,24921.08822,37.27924499,11297.33082,7923.479397,872.6982004,13309.37319,425.0000001,18689.86122,17163.11873,1526.742485,9516.319848,455.2089052,16479.68163,8090.946564,2590.56549,4116.327272,1463.03525,218.80705,373064.9999,2789.154392,5900.459137,3314.703333,858.3955607,5039.722576,6469.139291,4235.817179,1262.132907,5075.769007,2838.507255,3267.316513,3101.408256,2248.055046,1410.844037,1480.385321,1353.087156,50579.58519,3696.435778,3926.298165,2377.412844,2860.949541,13933.41326
Brighton Park,45031,14450,10922,9051.999999,6720,2370.000001,1111,405.9999999,26962,30.95740164,3077,37432,507.0000001,3619.000001,395.9999998,21188.99999,19019,2160,12193,223.0000001,18374.99999,10223,3128.999999,4097.999999,775.9999998,149,148629.9997,2057.999995,5071.999989,3766.99999,1594.999997,10034,9707.999999,3353,1217,1982,668,3271.000001,4171,2353,1242,918.0000001,537.0000001,41176.47059,2005,2630,2274,5583.000001,14079.00001
Burnside,2336.000001,348.0000002,539.0000003,357.0000002,451.0000002,361.0000002,242.0000001,38,1747.000001,45.30864197,10,37,2265.000001,0,24,1130.000002,882.0000018,248.0000005,919.0000018,12.00000002,834.0000017,500.000001,132.0000003,202.0000004,0,0,0,407.9999992,399.9999992,165.9999997,71.99999986,253.0000001,686.0000004,459.0000002,115,109.0000001,125.0000001,515.9999995,268.9999997,62.99999994,73.99999993,123.9999999,0,25460.52632,533.9999995,233.9999998,128.9999999,148.9999999,1323.999997
Calumet Heights,12956,2145,2215,2432,3163,1326,1270,405,9850,48.45014808,172,458.0000003,12235,15,75.99999996,6350.000023,5683.000021,667.0000022,5067.000018,227.0000007,5361.00002,3167.000012,456.000002,1594.000006,85.00000029,59.00000013,0,1108,2356.999998,1306,476.9999993,1116,2438,2898,879.9999998,1753,765.0000001,1290,1396,912.0000003,564.9999998,700.0000001,385.0000001,48966.66667,1927.000001,1815,722,784,6055.000002
Chatham,30700.28088,7167.18449,5514.339609,5494.188254,7461.24699,2759.340362,1459.228917,844.7522592,21742.08133,41.78287944,601.3343372,386.0000001,29254.4729,182.0000002,276.4736447,14521.70747,12180.43791,2341.269562,10145.16607,576.8334864,11191.15952,6211.912489,907.1544919,3589.036226,303.0000002,180.0563168,0,4860.121835,5847.689988,2372.108162,609.3876146,2800.256778,6138.90964,6425.658887,1662.201054,2873.9375,1841.117471,5595.32359,3217.943472,2260.419105,1381.153997,858.1150105,380.1871347,31828.18516,6478.300199,3489.003901,2047.596493,1678.241716,16686.69497
Chicago Lawn,52003.00001,15715,12505,9960.000001,8119.000001,3689,1565,450,32041,32.13001294,1822,26016,23169.00001,152,843.9999999,25053,19505,5540.000002,14434,357.0000002,18304,11187,2506.999999,3988.000001,514.9999999,107.0000001,72844.99985,4613.000002,6029.999999,3772.999996,1874.999999,8130,13228,6334.000002,1778,1973,598.0000001,6151.999999,4938,2510,1285,1027,379.0000002,33486.17512,4757,3642,2570,5322,19174
Clearing,25735,6943,5605.999999,5226,4697,1880,901.9999998,480.9999999,17459,35.82087629,9980.999998,14840,416.0000001,140.9999998,356.9999999,13179.00001,11975.00001,1204.000001,6609.000005,121,11564.00001,8187.000006,878,1894.000002,490.000001,115.0000001,0,920.0000026,3555.000013,3276.000012,1129.000005,2758,6601.999999,3676.000001,1433,2099.000001,891.0000001,1425,2131.000001,1918,1384,1280.000001,742.0000001,61524.76108,2357.000001,2545.000001,1163,2815.000002,9271.000001
Douglas,21268,4639.999999,6863.999999,3491,3169.999999,1705,840.0000001,558.0000001,14257,31.98126301,2399.000001,723.0000003,14508,3025,613.0000001,9693.999998,8350.999998,1343,8310.999997,412.9999997,7548.999999,3208.999999,494.9999999,2807,875.9999995,162,0,3815.999997,4497.999997,1110.999999,199.9999999,1627,2560,2965.999999,815,3525,2764,4256.999999,2075,1368,737.0000001,679,509.0000002,31509.17432,5227,2504,1052,841.9999999,10896
Dunning,44034.99996,10217.99999,8408.999994,8899.999993,8828.999994,4573.999997,2186.999999,917.9999995,31683.99998,41.13136943,27158.99998,13103.99999,988.9999995,2532.999997,249.9999997,23770.99998,22684.99998,1014,12175.99999,361.9999997,22069.99998,16798.99998,2159.999997,2217.999998,455.9999997,436.9999996,141350.0006,1246,5745.999999,6282.999999,2408,3561.999998,10127.99999,7046.999995,2478.999999,5608.999996,2858.999998,2635.999999,2969.999998,2740.999998,2532.999999,3095.999998,1706.999999,70243.09912,4085.999997,4877.999997,2598.999999,4119.999998,16710
East Garfield Park,19730.99942,6670.991714,4692.152755,3402.820606,3143.77324,1074.568976,574.7631739,171.9289521,11366.90764,29.61519338,1174.000001,701.5405568,17303.45886,125,427.0000002,6973.428067,5693.043816,1280.384252,7206.0823,200.9526348,5448.091181,2405.289522,332.9100061,2286.11427,279.9242156,143.8531676,24725,3157.287693,2575.705371,775.9878676,211.9722704,2386.54115,3842.844289,2483.948492,842.914743,1182.68739,627.9715812,3550.331024,1487.764299,715.9168116,417.9705377,387.9792032,160.9913347,22817.61749,2473.559793,1444.740036,1173.88215,1628.771232,8346.026026
